Fecha,Hora,Frecuencia Referencia (Hz),Frecuencia Salida (Hz),Corriente VDF (A),Tensión Salida VDF (V),Tensión Bus DC (V),Corriente T1 Out (A),Corriente T2 Out (A),Corriente T3 Out (A),Corriente Motor (A),Tensión L1 In (VAC),Tensión L2 In (VAC),Tensión L3 In (VAC),Tensión T1 Out (VAC),Tensión T2 Out (VAC),Tensión T3 Out (VAC),Potencia Activa Out (KW),Factor de Potencia Salida (),Presión Intake (Psia),Presión Descarga (Psia),Temperatura Intake (°F),Temperatura Motor (°F),Vibración Eje X (Gs),Vibración Eje Y (Gs),Vibración Eje Z (Gs),Corriente de Fuga (mA),Corriente de Sistema (mA),Presión Cabeza (Psia),Temperatura Cabeza (°C),Flujo Másico (Kg/h),Densidad (gr/cm3),BS&W (%),Sensor Toroide 1,Sensor Toroide 2,Sensor Toroide 3,Unidades de Variables,Código de Aplicación,Nombre de Pozo,Eventos y Fallas 
03/01/25,12:34:15,60.00,60.00,138,475.0,661,193,178,188,28,0,0,0,457,467,466,83,0.570,315.3,3501.1,216.0,298.8,0.029,0.00,0.034,0,10.2,0,0.0,0,0,0,0.0,0.0,0.0,12,7479297,PCN 022,0
03/01/25,12:34:45,60.00,60.00,140,475.0,666,193,175,187,28,0,0,0,467,457,458,84,0.571,315.7,3501.1,216.0,298.6,0.029,0.00,0.047,0,10.2,0,0.0,0,0,0,0.0,0.0,0.0,12,7479297,PCN 022,0
03/01/25,12:35:16,60.00,60.00,138,475.0,662,186,174,189,28,0,0,0,456,458,454,83,0.569,315.0,3501.3,216.0,298.5,0.027,0.00,0.035,0,10.2,0,0.0,0,0,0,0.0,0.0,0.0,12,7479297,PCN 022,0
03/01/25,12:35:45,60.00,60.00,138,475.0,666,192,177,187,28,0,0,0,459,470,467,83,0.565,315.8,3501.9,216.0,298.5,0.037,0.00,0.047,0,10.2,0,0.0,0,0,0,0.0,0.0,0.0,12,7479297,PCN 022,0
03/01/25,12:36:16,60.00,60.00,138,475.0,663,187,175,189,28,0,0,0,456,461,458,83,0.572,316.2,3500.4,215.9,298.5,0.024,0.00,0.040,0,10.3,0,0.0,0,0,0,0.0,0.0,0.0,12,7479297,PCN 022,0
03/01/25,12:36:46,60.00,60.00,140,475.0,666,187,175,187,28,0,0,0,459,458,460,83,0.566,314.9,3503.2,216.0,298.5,0.025,0.00,0.047,0,10.2,0,0.0,0,0,0,0.0,0.0,0.0,12,7479297,PCN 022,0
03/01/25,12:37:16,60.00,60.00,138,475.0,664,193,177,188,28,0,0,0,452,470,457,83,0.566,315.4,3503.9,215.9,298.5,0.024,0.00,0.049,0,10.2,0,0.0,0,0,0,0.0,0.0,0.0,12,7479297,PCN 022,0
03/01/25,12:37:46,60.00,60.00,138,475.0,663,195,174,186,28,0,0,0,467,463,464,82,0.562,314.8,3502.1,216.1,298.6,0.018,0.00,0.046,0,10.3,0,0.0,0,0,0,0.0,0.0,0.0,12,7479297,PCN 022,0
03/01/25,12:38:16,60.00,60.00,137,475.0,661,189,174,185,28,0,0,0,449,465,453,83,0.568,315.9,3502.1,216.0,298.5,0.026,0.00,0.039,0,10.2,0,0.0,0,0,0,0.0,0.0,0.0,12,7479297,PCN 022,0
03/01/25,12:38:46,60.00,60.00,138,475.0,661,190,177,187,28,0,0,0,455,473,463,83,0.571,314.8,3500.8,215.9,298.6,0.024,0.00,0.037,0,10.2,0,0.0,0,0,0,0.0,0.0,0.0,12,7479297,PCN 022,0
03/01/25,12:39:16,60.00,60.00,140,475.0,662,197,174,189,28,0,0,0,463,461,464,83,0.569,315.3,3502.4,215.9,298.6,0.023,0.00,0.040,0,10.2,0,0.0,0,0,0,0.0,0.0,0.0,12,7479297,PCN 022,0
03/01/25,12:39:46,60.00,60.00,137,475.0,663,193,174,183,28,0,0,0,457,458,476,83,0.568,315.6,3503.0,215.9,298.4,0.028,0.00,0.046,0,10.2,0,0.0,0,0,0,0.0,0.0,0.0,12,7479297,PCN 022,0
03/01/25,12:40:16,60.00,60.00,138,475.0,663,190,177,192,28,0,0,0,462,457,452,83,0.570,315.5,3504.0,215.9,298.4,0.024,0.00,0.046,0,10.2,0,0.0,0,0,0,0.0,0.0,0.0,12,7479297,PCN 022,0
03/01/25,12:40:46,60.00,60.00,138,475.0,665,191,176,192,28,0,0,0,457,455,448,83,0.568,316.7,3504.4,215.9,298.6,0.022,0.00,0.050,0,10.3,0,0.0,0,0,0,0.0,0.0,0.0,12,7479297,PCN 022,0
03/01/25,12:41:16,60.00,60.00,138,475.0,665,193,175,186,28,0,0,0,465,470,481,83,0.569,315.5,3506.6,215.9,298.5,0.023,0.00,0.050,0,10.2,0,0.0,0,0,0,0.0,0.0,0.0,12,7479297,PCN 022,0
03/01/25,12:41:47,60.00,60.00,138,475.0,664,192,176,191,28,0,0,0,461,463,465,84,0.571,315.9,3508.4,216.0,298.5,0.024,0.00,0.041,0,10.2,0,0.0,0,0,0,0.0,0.0,0.0,12,7479297,PCN 022,0
03/01/25,12:42:16,60.00,60.00,140,475.0,663,193,177,192,29,0,0,0,461,452,452,84,0.571,316.0,3507.0,216.0,298.6,0.025,0.00,0.034,0,10.2,0,0.0,0,0,0,0.0,0.0,0.0,12,7479297,PCN 022,0
03/01/25,12:42:47,60.00,60.00,138,475.0,664,191,176,189,28,0,0,0,463,460,459,84,0.573,315.8,3506.0,216.0,298.5,0.025,0.00,0.040,0,10.2,0,0.0,0,0,0,0.0,0.0,0.0,12,7479297,PCN 022,0
03/01/25,12:43:17,60.00,60.00,138,475.0,665,192,175,190,28,0,0,0,463,455,454,84,0.565,315.0,3503.8,215.9,298.5,0.023,0.00,0.046,0,10.2,0,0.0,0,0,0,0.0,0.0,0.0,12,7479297,PCN 022,0
03/01/25,12:43:47,60.00,60.00,137,475.0,664,191,175,186,28,0,0,0,457,462,481,81,0.558,316.2,3504.3,216.0,298.7,0.026,0.00,0.047,0,10.2,0,0.0,0,0,0,0.0,0.0,0.0,12,7479297,PCN 022,0
03/01/25,12:44:17,60.00,60.00,140,475.0,664,193,172,188,28,0,0,0,464,456,452,84,0.575,316.0,3503.8,216.0,298.5,0.027,0.00,0.048,0,10.3,0,0.0,0,0,0,0.0,0.0,0.0,12,7479297,PCN 022,0
03/01/25,12:44:47,60.00,60.00,138,475.0,662,192,174,188,28,0,0,0,463,472,472,85,0.572,315.9,3506.6,216.0,298.7,0.025,0.00,0.047,0,10.2,0,0.0,0,0,0,0.0,0.0,0.0,12,7479297,PCN 022,0
